prompt,tool_predicted,tool_ground_truth,agent_role,difficulty,category,run_id
Do a port scan of the defender that also reports the service version on each port,PortScan,NmapScan,attacker,hard,opposite,20260829-162521
Run nmap -p 1-1000 against 192.168.56.102,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Scan ports 1-1000 on the defender host,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Is Apache 2.4.49 vulnerable to any known exploits?,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Is ssh 1.18 vulnerable to any known exploits?,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Run a scan against the target VM,NmapScan,NmapScan,attacker,hard,ambiguous,20260829-162521
"Once we know it's nginx 8.0.32, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
Can you get me onto the defender host?,SSHConnect,SSHConnect,attacker,hard,natural,20260829-162521
Open an SSH session to 192.168.56.102,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
"Once we know it's Apache 1.18, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
Do a service and version detection scan on the target VM,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Check nginx 8.0.32 against the vulnerability database,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
"Run nmap on the target VM but I only care which ports are open, not versions",PortScan,PortScan,attacker,hard,opposite,20260829-162521
Does OpenSSH version 1.18 have any known vulnerabilities?,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Use nmap -sV to detect software versions on the target machine,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Do a port scan of the defender host that also reports the service version on each port,PortScan,NmapScan,attacker,hard,opposite,20260829-162521
SSH into the target,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Report known security advisories for MySQL 1.18,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
"First scan the defender for open ports, then we'll look at versions",NmapScan,PortScan,attacker,hard,multistep,20260829-162521
Open a secure shell to the target,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Enumerate open ports on the defender host across 80-8080,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Don't just scan the defender host — tell me if Apache 2.3.4 is actually exploitable,CheckVulnerability,CheckVulnerability,attacker,hard,opposite,20260829-162521
Does OpenSSH version 8.0.32 have any known vulnerabilities?,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
What's actually running on the target?,NmapScan,NmapScan,attacker,hard,natural,20260829-162521
"After the port scan, run version detection on the defender host",CheckVulnerability,NmapScan,attacker,hard,multistep,20260829-162521
Find published CVEs affecting Apache 2.4.49,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Can you get me onto the defender?,SSHConnect,SSHConnect,attacker,hard,natural,20260829-162521
Enumerate open ports on the target VM across 22-443,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Run nmap -p 1-1024 against the target machine,NmapScan,PortScan,attacker,easy,direct,20260829-162521
"Skip the plain port list, I need the service versions on the defender host",CheckVulnerability,NmapScan,attacker,hard,trick,20260829-162521
"First scan the defender host for open ports, then we'll look at versions",NmapScan,PortScan,attacker,hard,multistep,20260829-162521
Enumerate services and their versions on the target VM,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Use nmap -sV to detect software versions on the defender,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Identify the exact service versions exposed by the defender,PortScan,NmapScan,attacker,easy,direct,20260829-162521
Do a port scan of the target VM that also reports the service version on each port,PortScan,NmapScan,attacker,hard,opposite,20260829-162521
Enumerate open ports on the target across 1-1000,NmapScan,PortScan,attacker,easy,direct,20260829-162521
"Run nmap on 192.168.56.102 but I only care which ports are open, not versions",NmapScan,PortScan,attacker,hard,opposite,20260829-162521
Do a port scan of the target machine that also reports the service version on each port,NmapScan,NmapScan,attacker,hard,opposite,20260829-162521
Scan ports 1-65535 on the defender,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Find published CVEs affecting MySQL 8.2,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Run an nmap -sV version scan of 192.168.56.102,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Look up known CVEs for vsftpd 7.2,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Enumerate services and their versions on the defender host,PortScan,NmapScan,attacker,easy,direct,20260829-162521
Scan the target VM and see what comes back,NmapScan,PortScan,attacker,hard,ambiguous,20260829-162521
Scan ports 1-1000 on 192.168.56.102,NmapScan,PortScan,attacker,easy,direct,20260829-162521
What service versions are running on the target?,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
"First scan the target for open ports, then we'll look at versions",NmapScan,PortScan,attacker,hard,multistep,20260829-162521
Is that old OpenSSH on there going to get us hacked?,CheckVulnerability,CheckVulnerability,attacker,hard,natural,20260829-162521
Is nginx 8.0.32 vulnerable to any known exploits?,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
What's actually running on the target machine?,NmapScan,NmapScan,attacker,hard,natural,20260829-162521
"After the port scan, run version detection on the target VM",CheckVulnerability,NmapScan,attacker,hard,multistep,20260829-162521
Enumerate services and their versions on the target,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Report known security advisories for vsftpd 8.2,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
SSH into 192.168.56.102,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
"No need for service versions, only tell me which ports are open on the defender",NmapScan,PortScan,attacker,hard,trick,20260829-162521
Does vsftpd version 8.2 have any known vulnerabilities?,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Don't just scan the target VM — tell me if OpenSSH 2.4.49 is actually exploitable,CheckVulnerability,CheckVulnerability,attacker,hard,opposite,20260829-162521
"Skip the plain port list, I need the service versions on the target",CheckVulnerability,NmapScan,attacker,hard,trick,20260829-162521
Is that old nginx on there going to get us hacked?,CheckVulnerability,CheckVulnerability,attacker,hard,natural,20260829-162521
Do a service and version detection scan on the defender host,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Which TCP ports in 1-1000 are open on the defender host?,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Check the target VM over the network,NmapScan,NmapScan,attacker,hard,ambiguous,20260829-162521
Check vsftpd 2.4.49 against the vulnerability database,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Do some recon on the target machine,NmapScan,PortScan,attacker,hard,ambiguous,20260829-162521
Look up known CVEs for ssh 8.0.32,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Port-scan the defender and report which ports are open,NmapScan,PortScan,attacker,easy,direct,20260829-162521
SSH to the defender host and open a session,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Check MySQL 2.4.49 against the vulnerability database,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
"First scan the target machine for open ports, then we'll look at versions",NmapScan,PortScan,attacker,hard,multistep,20260829-162521
"Once we know it's MySQL 1.18, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
Authenticate to 192.168.56.102 over SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
"First scan the target VM for open ports, then we'll look at versions",NmapScan,PortScan,attacker,hard,multistep,20260829-162521
SSH to 192.168.56.102 and open a session,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Get an SSH connection to the target,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Run an nmap -sV version scan of the defender,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Identify the exact service versions exposed by 192.168.56.102,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Do a service and version detection scan on 192.168.56.102,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Open a secure shell to 192.168.56.102,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Don't just scan the target machine — tell me if http 8.0.32 is actually exploitable,CheckVulnerability,CheckVulnerability,attacker,hard,opposite,20260829-162521
"Once we know it's http 8.2, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
Do a port scan of the target machine over range 1-1000,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Connect to the target machine via SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
"Once we know it's Apache 8.0.32, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
Scan the defender host and see what comes back,NmapScan,PortScan,attacker,hard,ambiguous,20260829-162521
Don't just scan the target VM — tell me if http 7.2 is actually exploitable,CheckVulnerability,CheckVulnerability,attacker,hard,opposite,20260829-162521
Is that old vsftpd on there going to get us hacked?,CheckVulnerability,CheckVulnerability,attacker,hard,natural,20260829-162521
Run a scan against 192.168.56.102,NmapScan,NmapScan,attacker,hard,ambiguous,20260829-162521
Establish an SSH connection to 192.168.56.102,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Identify the exact service versions exposed by the defender host,PortScan,NmapScan,attacker,easy,direct,20260829-162521
"Run nmap on the target but I only care which ports are open, not versions",PortScan,PortScan,attacker,hard,opposite,20260829-162521
Don't just scan 192.168.56.102 — tell me if the web server 2.3.4 is actually exploitable,CheckVulnerability,CheckVulnerability,attacker,hard,opposite,20260829-162521
Is http 7.2 vulnerable to any known exploits?,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Get an SSH connection to 192.168.56.102,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Run an nmap -sV version scan of the target machine,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Get an SSH connection to the defender,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Do a service and version detection scan on the target machine,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Don't just scan the defender host — tell me if MySQL 8.0.32 is actually exploitable,CheckVulnerability,CheckVulnerability,attacker,hard,opposite,20260829-162521
Find published CVEs affecting ssh 8.0.32,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Which TCP ports in 1-1000 are open on 192.168.56.102?,NmapScan,PortScan,attacker,easy,direct,20260829-162521
SSH into the defender,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Report known security advisories for http 1.18,PortScan,CheckVulnerability,attacker,easy,direct,20260829-162521
Can you get me onto the target machine?,SSHConnect,SSHConnect,attacker,hard,natural,20260829-162521
Use nmap -sV to detect software versions on the target,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Establish an SSH connection to the target machine,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Log in to the defender host over SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
What service versions are running on 192.168.56.102?,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
"Run nmap on the defender host but I only care which ports are open, not versions",PortScan,PortScan,attacker,hard,opposite,20260829-162521
Look at the web server on the defender from a security angle,CheckVulnerability,CheckVulnerability,attacker,hard,ambiguous,20260829-162521
Enumerate open ports on 192.168.56.102 across 1-1024,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Open an SSH session to the defender,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
"Once we know it's nginx 2.3.4, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
Which TCP ports in 22-443 are open on the defender?,NmapScan,PortScan,attacker,easy,direct,20260829-162521
"No need for service versions, only tell me which ports are open on 192.168.56.102",NmapScan,PortScan,attacker,hard,trick,20260829-162521
List the open TCP ports on the target machine,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Authenticate to the target VM over SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
What service versions are running on the defender?,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Scan ports 22-443 on the target,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Log in to the target machine over SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
What's actually running on the defender host?,NmapScan,NmapScan,attacker,hard,natural,20260829-162521
Report known security advisories for http 8.0.32,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Fingerprint the service versions on 192.168.56.102 with nmap,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Which TCP ports in 1-1024 are open on the target machine?,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Can you get me onto the target VM?,SSHConnect,SSHConnect,attacker,hard,natural,20260829-162521
"Run nmap on the target machine but I only care which ports are open, not versions",PortScan,PortScan,attacker,hard,opposite,20260829-162521
Check vsftpd 8.0.32 against the vulnerability database,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Do a port scan of the target VM over range 80-8080,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Do some recon on the target VM,NmapScan,PortScan,attacker,hard,ambiguous,20260829-162521
Is that old Apache on there going to get us hacked?,CheckVulnerability,CheckVulnerability,attacker,hard,natural,20260829-162521
Enumerate services and their versions on the target machine,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Get an SSH connection to the target machine,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Check ssh 1.18 against the vulnerability database,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
"Skip the plain port list, I need the service versions on 192.168.56.102",CheckVulnerability,NmapScan,attacker,hard,trick,20260829-162521
Use nmap -sV to detect software versions on the defender host,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Establish an SSH connection to the defender host,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
"Run nmap on the defender but I only care which ports are open, not versions",PortScan,PortScan,attacker,hard,opposite,20260829-162521
Run nmap -p 1-1000 against the defender,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Find published CVEs affecting vsftpd 8.0.32,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
"Once we know it's vsftpd 2.3.4, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
"No need for service versions, only tell me which ports are open on the target",NmapScan,PortScan,attacker,hard,trick,20260829-162521
"Once we know it's nginx 2.4.49, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
What's actually running on the defender?,NmapScan,NmapScan,attacker,hard,natural,20260829-162521
What service versions are running on the target VM?,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Enumerate open ports on the target VM across 1-65535,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Open an SSH session to the defender host,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Open an SSH session to the target machine,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
"Skip the plain port list, I need the service versions on the defender",CheckVulnerability,NmapScan,attacker,hard,trick,20260829-162521
Is OpenSSH 7.2 vulnerable to any known exploits?,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Do a port scan of the target machine over range 80-8080,PortScan,PortScan,attacker,easy,direct,20260829-162521
Log in to 192.168.56.102 over SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Scan ports 1-1024 on the target machine,NmapScan,PortScan,attacker,easy,direct,20260829-162521
List the open TCP ports on the target VM,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Start a remote shell on the target via SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
What's actually running on the target VM?,NmapScan,NmapScan,attacker,hard,natural,20260829-162521
Scan ports 1-1024 on the target VM,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Look at MySQL on the target VM from a security angle,CheckVulnerability,CheckVulnerability,attacker,hard,ambiguous,20260829-162521
Fingerprint the service versions on the defender with nmap,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Enumerate open ports on the defender across 1-65535,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Is that old the web server on there going to get us hacked?,CheckVulnerability,CheckVulnerability,attacker,hard,natural,20260829-162521
Check http 8.2 against the vulnerability database,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Don't just scan the target machine — tell me if MySQL 8.0.32 is actually exploitable,CheckVulnerability,CheckVulnerability,attacker,hard,opposite,20260829-162521
Do a service and version detection scan on the target,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Open a secure shell to the defender,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Do a port scan of the defender over range 22-443,NmapScan,PortScan,attacker,easy,direct,20260829-162521
"Once we know it's OpenSSH 2.4.49, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
Run an nmap -sV version scan of the defender host,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
SSH into the target machine,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
"No need for service versions, only tell me which ports are open on the target VM",NmapScan,PortScan,attacker,hard,trick,20260829-162521
Get an SSH connection to the defender host,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Probe the target for me,NmapScan,PortScan,attacker,hard,ambiguous,20260829-162521
Look at MySQL on the target from a security angle,CheckVulnerability,CheckVulnerability,attacker,hard,ambiguous,20260829-162521
Can you see what doors are open on the target machine?,NmapScan,PortScan,attacker,hard,natural,20260829-162521
Do a port scan of 192.168.56.102 over range 1-1024,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Find published CVEs affecting the web server 8.0.32,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Do a service and version detection scan on the defender,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Fingerprint the service versions on the target VM with nmap,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Authenticate to the target over SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
"After the port scan, run version detection on the target",CheckVulnerability,NmapScan,attacker,hard,multistep,20260829-162521
Which TCP ports in 80-8080 are open on 192.168.56.102?,NmapScan,PortScan,attacker,easy,direct,20260829-162521
"Once we know it's vsftpd 7.2, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
Enumerate services and their versions on 192.168.56.102,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
"After the port scan, run version detection on the target machine",CheckVulnerability,NmapScan,attacker,hard,multistep,20260829-162521
Do some recon on the defender,NmapScan,PortScan,attacker,hard,ambiguous,20260829-162521
Don't just scan the target — tell me if ssh 2.4.49 is actually exploitable,CheckVulnerability,CheckVulnerability,attacker,hard,opposite,20260829-162521
"Once we know it's vsftpd 1.18, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
Enumerate open ports on 192.168.56.102 across 1-1000,NmapScan,PortScan,attacker,easy,direct,20260829-162521
"Once we know it's ssh 1.18, check it for known CVEs",CheckVulnerability,CheckVulnerability,attacker,hard,multistep,20260829-162521
What service versions are running on the target machine?,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
"No need for service versions, only tell me which ports are open on the target machine",NmapScan,PortScan,attacker,hard,trick,20260829-162521
What's actually running on 192.168.56.102?,NmapScan,NmapScan,attacker,hard,natural,20260829-162521
"First scan 192.168.56.102 for open ports, then we'll look at versions",NmapScan,PortScan,attacker,hard,multistep,20260829-162521
Does MySQL version 2.3.4 have any known vulnerabilities?,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Look up known CVEs for nginx 1.18,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Authenticate to the defender over SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Can you see what doors are open on 192.168.56.102?,NmapScan,PortScan,attacker,hard,natural,20260829-162521
Identify the exact service versions exposed by the target,PortScan,NmapScan,attacker,easy,direct,20260829-162521
Run nmap -p 22-443 against the defender,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Can you see what doors are open on the defender?,NmapScan,PortScan,attacker,hard,natural,20260829-162521
Find published CVEs affecting Apache 8.2,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Does Apache version 8.0.32 have any known vulnerabilities?,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Port-scan the target VM and report which ports are open,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Port-scan 192.168.56.102 and report which ports are open,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Don't just scan the target VM — tell me if http 2.3.4 is actually exploitable,CheckVulnerability,CheckVulnerability,attacker,hard,opposite,20260829-162521
Open an SSH session to the target VM,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
Start a remote shell on 192.168.56.102 via SSH,SSHConnect,SSHConnect,attacker,easy,direct,20260829-162521
What service versions are running on the defender host?,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Run an nmap -sV version scan of the target,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
Run nmap -p 22-443 against 192.168.56.102,NmapScan,PortScan,attacker,easy,direct,20260829-162521
Find published CVEs affecting vsftpd 8.2,CheckVulnerability,CheckVulnerability,attacker,easy,direct,20260829-162521
Fingerprint the service versions on the target with nmap,NmapScan,NmapScan,attacker,easy,direct,20260829-162521
"After the port scan, run version detection on the defender",CheckVulnerability,NmapScan,attacker,hard,multistep,20260829-162521
