prompt,tool_predicted,tool_ground_truth,run_id
What is 25 multiplied by 48?,Calculator,Calculator,20260829-133312
What is the square root of 144?,Calculator,Calculator,20260829-133312
What is 15% of 200?,Calculator,Calculator,20260829-133312
Who invented the telephone?,Search,Search,20260829-133312
What is the capital of Japan?,Search,Search,20260829-133312
What is machine learning?,Search,Search,20260829-133312
Summarize the sales data,TableSummarizer,TableSummarizer,20260829-133312
What are the columns in the dataset?,TableSummarizer,TableSummarizer,20260829-133312
Give me the statistics of the sales table,TableSummarizer,TableSummarizer,20260829-133312
Subtract 99 from 982,Calculator,Calculator,20260829-133312
What is 656 plus 16?,Calculator,Calculator,20260829-133312
Divide 625 by 83,Calculator,Calculator,20260829-133312
What is 90% of (13 + 11)?,Calculator,Calculator,20260829-133312
65% of 2217 is what?,Calculator,Calculator,20260829-133312
What is 18% of 2237?,Calculator,Calculator,20260829-133312
Divide 720 by 89,Calculator,Calculator,20260829-133312
Divide 665 by 11,Calculator,Calculator,20260829-133312
Compute 101 take away 47,Calculator,Calculator,20260829-133312
There are 16 apples in a basket and 13 more are added. How many apples now?,Calculator,Calculator,20260829-133312
560 minus 55 equals what?,Calculator,Calculator,20260829-133312
Calculate 10% of 242,Calculator,Calculator,20260829-133312
605 minus 37 equals what?,Calculator,Calculator,20260829-133312
Convert 34 degrees Celsius to Fahrenheit,Calculator,Calculator,20260829-133312
Find 20 percent of 2094,Calculator,Calculator,20260829-133312
What's 75 percent of 781?,Calculator,Calculator,20260829-133312
Sales tax is 8% on a $504 item. What is the final cost?,Calculator,Calculator,20260829-133312
A water tank fills at 28 gallons per minute. Volume after 40 minutes?,Calculator,Calculator,20260829-133312
A baker makes 14 cookies per batch and bakes 8 batches. Total cookies?,Calculator,Calculator,20260829-133312
A car uses 22 gallons to travel 417 miles. What is the mpg?,Calculator,Calculator,20260829-133312
Find the product of 302 and 82,Calculator,Calculator,20260829-133312
Calculate 551 multiplied by 17,Calculator,Calculator,20260829-133312
What is 50% of (4 + 11)?,Calculator,Calculator,20260829-133312
A meal is $314 and the tip is 10%; what is the total bill?,Calculator,Calculator,20260829-133312
"If a printer prints 593 pages per minute, how many pages in 6 minutes?",Calculator,Calculator,20260829-133312
227 minus 59 equals what?,Calculator,Calculator,20260829-133312
I save $167 per week. How much will I have after 16 weeks?,Calculator,Calculator,20260829-133312
A train covers 68 miles in 5 hours. What is its average speed in mph?,Calculator,Calculator,20260829-133312
An item originally $297 is now $1. What is the percent decrease?,Calculator,Calculator,20260829-133312
Calculate 75% of 2071,Calculator,Calculator,20260829-133312
Evaluate (39 - 27) divided by 3,Calculator,Calculator,20260829-133312
"A shirt costs $431, discounted 25%. What is the final price?",Calculator,Calculator,20260829-133312
"Find the average of 39, 8, and 16",Calculator,Calculator,20260829-133312
50% of 2490 is what?,Calculator,Calculator,20260829-133312
A book has 418 pages and you read 45 per day. How many days to finish?,Calculator,Calculator,20260829-133312
Compute the sum of 915 and 71,Calculator,Calculator,20260829-133312
Find the quotient of 365 and 28,Calculator,Calculator,20260829-133312
Calculate 230 + 19,Calculator,Calculator,20260829-133312
A recipe for 2 servings uses 3 cups of flour. How much for 20 servings?,Calculator,Calculator,20260829-133312
Gas is $310 per gallon and the tank holds 25 gallons. Total cost?,Calculator,Calculator,20260829-133312
A box is 39 cm by 38 cm by 8 cm. What is its volume?,Calculator,Calculator,20260829-133312
Find 30 percent of 2444,Calculator,Calculator,20260829-133312
"Find the average of 18, 6, and 17",Calculator,Calculator,20260829-133312
A recipe for 8 servings uses 6 cups of flour. How much for 22 servings?,Calculator,Calculator,20260829-133312
A train covers 417 miles in 5 hours. What is its average speed in mph?,Calculator,Calculator,20260829-133312
Multiply 593 by 26,Calculator,Calculator,20260829-133312
There are 16 apples in a basket and 19 more are added. How many apples now?,Calculator,Calculator,20260829-133312
What is 283 plus 33?,Calculator,Calculator,20260829-133312
Compute 70% of 129,Calculator,Calculator,20260829-133312
Calculate 18% of 1779,Calculator,Calculator,20260829-133312
Multiply 723 by 10,Calculator,Calculator,20260829-133312
What is 41 squared divided by 30?,Calculator,Calculator,20260829-133312
"If you split $183 equally among 24 people, how much does each person get?",Calculator,Calculator,20260829-133312
"If I have 25 boxes of 23 items, how many items in total?",Calculator,Calculator,20260829-133312
Gas is $705 per gallon and the tank holds 8 gallons. Total cost?,Calculator,Calculator,20260829-133312
Calculate 50% of 1532,Calculator,Calculator,20260829-133312
A box is 6 cm by 48 cm by 7 cm. What is its volume?,Calculator,Calculator,20260829-133312
A meal is $251 and the tip is 25%; what is the total bill?,Calculator,Calculator,20260829-133312
An employee earns $52/hour for 34 hours per week. Weekly pay?,Calculator,Calculator,20260829-133312
What's 75 percent of 485?,Calculator,Calculator,20260829-133312
Convert 408 kilometers to miles (1 km = 0.621 miles),Calculator,Calculator,20260829-133312
Evaluate (9 - 24) divided by 11,Calculator,Calculator,20260829-133312
What is 65% of 1604?,Calculator,Calculator,20260829-133312
Find the quotient of 688 and 36,Calculator,Calculator,20260829-133312
What's 33 percent of 2129?,Calculator,Calculator,20260829-133312
What is 27 cubed minus 12?,Calculator,Calculator,20260829-133312
A 634% tip on a $443 bill is how much?,Calculator,Calculator,20260829-133312
Calculate 44^2 + 3^2,Calculator,Calculator,20260829-133312
A baker makes 4 cookies per batch and bakes 10 batches. Total cookies?,Calculator,Calculator,20260829-133312
Stock went from $480 to $61. What is the percent change?,Calculator,Calculator,20260829-133312
Find 15 percent of 1060,Calculator,Calculator,20260829-133312
Find the quotient of 168 and 49,Calculator,Calculator,20260829-133312
Compute the sum of 91 and 77,Calculator,Calculator,20260829-133312
Convert 42 degrees Fahrenheit to Celsius,Calculator,Calculator,20260829-133312
