prompt,tool
What is 25 multiplied by 48?,Calculator
What is the square root of 144?,Calculator
What is 15% of 200?,Calculator
Who invented the telephone?,Search
What is the capital of Japan?,Search
What is machine learning?,Search
Summarize the sales data,TableSummarizer
What are the columns in the dataset?,TableSummarizer
Give me the statistics of the sales table,TableSummarizer
Subtract 99 from 982,Calculator
What is 656 plus 16?,Calculator
Divide 625 by 83,Calculator
What is 90% of (13 + 11)?,Calculator
65% of 2217 is what?,Calculator
What is 18% of 2237?,Calculator
Divide 720 by 89,Calculator
Divide 665 by 11,Calculator
Compute 101 take away 47,Calculator
There are 16 apples in a basket and 13 more are added. How many apples now?,Calculator
560 minus 55 equals what?,Calculator
Calculate 10% of 242,Calculator
605 minus 37 equals what?,Calculator
Convert 34 degrees Celsius to Fahrenheit,Calculator
Find 20 percent of 2094,Calculator
What's 75 percent of 781?,Calculator
Sales tax is 8% on a $504 item. What is the final cost?,Calculator
A water tank fills at 28 gallons per minute. Volume after 40 minutes?,Calculator
A baker makes 14 cookies per batch and bakes 8 batches. Total cookies?,Calculator
A car uses 22 gallons to travel 417 miles. What is the mpg?,Calculator
Find the product of 302 and 82,Calculator
Calculate 551 multiplied by 17,Calculator
What is 50% of (4 + 11)?,Calculator
A meal is $314 and the tip is 10%; what is the total bill?,Calculator
"If a printer prints 593 pages per minute, how many pages in 6 minutes?",Calculator
227 minus 59 equals what?,Calculator
I save $167 per week. How much will I have after 16 weeks?,Calculator
A train covers 68 miles in 5 hours. What is its average speed in mph?,Calculator
An item originally $297 is now $1. What is the percent decrease?,Calculator
Calculate 75% of 2071,Calculator
Evaluate (39 - 27) divided by 3,Calculator
"A shirt costs $431, discounted 25%. What is the final price?",Calculator
"Find the average of 39, 8, and 16",Calculator
50% of 2490 is what?,Calculator
A book has 418 pages and you read 45 per day. How many days to finish?,Calculator
Compute the sum of 915 and 71,Calculator
Find the quotient of 365 and 28,Calculator
Calculate 230 + 19,Calculator
A recipe for 2 servings uses 3 cups of flour. How much for 20 servings?,Calculator
Gas is $310 per gallon and the tank holds 25 gallons. Total cost?,Calculator
A box is 39 cm by 38 cm by 8 cm. What is its volume?,Calculator
Find 30 percent of 2444,Calculator
"Find the average of 18, 6, and 17",Calculator
A recipe for 8 servings uses 6 cups of flour. How much for 22 servings?,Calculator
A train covers 417 miles in 5 hours. What is its average speed in mph?,Calculator
Multiply 593 by 26,Calculator
There are 16 apples in a basket and 19 more are added. How many apples now?,Calculator
What is 283 plus 33?,Calculator
Compute 70% of 129,Calculator
Calculate 18% of 1779,Calculator
Multiply 723 by 10,Calculator
What is 41 squared divided by 30?,Calculator
"If you split $183 equally among 24 people, how much does each person get?",Calculator
"If I have 25 boxes of 23 items, how many items in total?",Calculator
Gas is $705 per gallon and the tank holds 8 gallons. Total cost?,Calculator
Calculate 50% of 1532,Calculator
A box is 6 cm by 48 cm by 7 cm. What is its volume?,Calculator
A meal is $251 and the tip is 25%; what is the total bill?,Calculator
An employee earns $52/hour for 34 hours per week. Weekly pay?,Calculator
What's 75 percent of 485?,Calculator
Convert 408 kilometers to miles (1 km = 0.621 miles),Calculator
Evaluate (9 - 24) divided by 11,Calculator
What is 65% of 1604?,Calculator
Find the quotient of 688 and 36,Calculator
What's 33 percent of 2129?,Calculator
What is 27 cubed minus 12?,Calculator
A 634% tip on a $443 bill is how much?,Calculator
Calculate 44^2 + 3^2,Calculator
A baker makes 4 cookies per batch and bakes 10 batches. Total cookies?,Calculator
Stock went from $480 to $61. What is the percent change?,Calculator
Find 15 percent of 1060,Calculator
Find the quotient of 168 and 49,Calculator
Compute the sum of 91 and 77,Calculator
Convert 42 degrees Fahrenheit to Celsius,Calculator
Multiply 48 by 86,Calculator
"A shirt costs $328, discounted 40%. What is the final price?",Calculator
Find 90 percent of 1338,Calculator
Compute the sum of 434 and 6,Calculator
"A shirt costs $201, discounted 25%. What is the final price?",Calculator
"If 75 workers finish a job in 10 days, how long for 408 workers?",Calculator
"If 39 out of 259 students passed, what percentage passed?",Calculator
"If 399 workers finish a job in 40 days, how long for 81 workers?",Calculator
What is 889 divided by 14?,Calculator
Stock went from $392 to $421. What is the percent change?,Calculator
A 479% tip on a $241 bill is how much?,Calculator
Convert 283 kilometers to miles (1 km = 0.621 miles),Calculator
What's 80 percent of 2222?,Calculator
What is 8% of 1342?,Calculator
What is 17 squared divided by 10?,Calculator
A loan of $623 at 3% simple interest for one year. How much interest?,Calculator
Find 10 percent of 914,Calculator
Find 15 percent of 1134,Calculator
Square root of 40 plus 20,Calculator
Compute 15% of 575,Calculator
A book has 402 pages and you read 55 per day. How many days to finish?,Calculator
A box is 26 cm by 30 cm by 4 cm. What is its volume?,Calculator
What is 8 cubed minus 22?,Calculator
Find the result of 42 / 27 + 19,Calculator
A meal is $793 and the tip is 20%; what is the total bill?,Calculator
Compute 96 take away 50,Calculator
Calculate 998 multiplied by 50,Calculator
I bought 4 packs with 29 candies each — how many candies altogether?,Calculator
"If 166 out of 133 students passed, what percentage passed?",Calculator
What is 37 plus 15 plus 23?,Calculator
What is the square of 32 minus the square of 20?,Calculator
A 113% tip on a $488 bill is how much?,Calculator
18% of 1908 is what?,Calculator
A teacher has 31 students in each of 6 classes; how many students total?,Calculator
Compute 33% of 1030,Calculator
Evaluate (40 - 24) divided by 22,Calculator
What is 10% of (28 + 24)?,Calculator
There are 12 apples in a basket and 27 more are added. How many apples now?,Calculator
Compute 346 take away 15,Calculator
A recipe for 3 servings uses 5 cups of flour. How much for 18 servings?,Calculator
Calculate 60% of 2440,Calculator
What is the square of 20 minus the square of 30?,Calculator
33% of 1830 is what?,Calculator
Compute 9 times 15 minus 13,Calculator
Add 32 and 13,Calculator
A car uses 21 gallons to travel 188 miles. What is the mpg?,Calculator
"If I have 24 boxes of 34 items, how many items in total?",Calculator
Calculate 391 / 37,Calculator
A loan of $572 at 4% simple interest for one year. How much interest?,Calculator
A field is 10 meters long and 38 meters wide. What is its area?,Calculator
Compute 90% of 372,Calculator
"If 41 out of 252 students passed, what percentage passed?",Calculator
A water tank fills at 40 gallons per minute. Volume after 32 minutes?,Calculator
A car uses 25 gallons to travel 467 miles. What is the mpg?,Calculator
Convert 61 degrees Celsius to Fahrenheit,Calculator
A teacher has 8 students in each of 10 classes; how many students total?,Calculator
I save $128 per week. How much will I have after 18 weeks?,Calculator
Find 50 percent of 1929,Calculator
What is 869 times 46?,Calculator
Compute (23 + 12) multiplied by 14,Calculator
Subtract 29 from 161,Calculator
Compute 12% of 1536,Calculator
What is 32 cubed minus 7?,Calculator
Calculate 466 / 83,Calculator
What is 7 plus 18 plus 22?,Calculator
Calculate 694 + 96,Calculator
Square root of 49 plus 7,Calculator
Gas is $200 per gallon and the tank holds 23 gallons. Total cost?,Calculator
What is 3 plus 29 plus 15?,Calculator
An employee earns $38/hour for 46 hours per week. Weekly pay?,Calculator
A teacher has 38 students in each of 9 classes; how many students total?,Calculator
"If a car travels 24 miles per hour for 3 hours, what is the total distance?",Calculator
40% of 506 is what?,Calculator
What is 779 - 22?,Calculator
A book has 167 pages and you read 50 per day. How many days to finish?,Calculator
Calculate 756 + 15,Calculator
